MIASTO,KOD_POCZTOWY,ULICA,NR_BUDYNKU
Warszawa,00-465,29 Listopada,221
Warszawa,00-910,Admiralska,29
Warszawa,00-460,Agrykola,33
Warszawa,00-147,Al. Generala Andersa Wladyslawa,240
Warszawa,00-159,Al. Generala Andersa Wladyslawa,56
Warszawa,00-201,Al. Generala Andersa Wladyslawa,172
Warszawa,00-210,Al. Generala Andersa Wladyslawa,1
Warszawa,00-116,Al. Jana Pawla II,125
Warszawa,00-117,Al. Jana Pawla II,72
Warszawa,00-124,Al. Jana Pawla II,143
Warszawa,00-133,Al. Jana Pawla II,96
Warszawa,00-135,Al. Jana Pawla II,140
Warszawa,00-141,Al. Jana Pawla II,32
Warszawa,00-145,Al. Jana Pawla II,197
Warszawa,00-148,Al. Jana Pawla II,86
Warszawa,00-152,Al. Jana Pawla II,157
Warszawa,00-156,Al. Jana Pawla II,190
Warszawa,00-166,Al. Jana Pawla II,145
Warszawa,00-170,Al. Jana Pawla II,165
Warszawa,00-175,Al. Jana Pawla II,223
Warszawa,00-090,Al. Solidarnosci,245
Warszawa,00-140,Al. Solidarnosci,113
Warszawa,00-144,Al. Solidarnosci,248
Warszawa,00-145,Al. Solidarnosci,105
Warszawa,00-381,Al. 3 Maja,229
Warszawa,00-391,Al. 3 Maja,93
Warszawa,00-401,Al. 3 Maja,101
Warszawa,00-571,Al. Armii Ludowej,164
Warszawa,00-575,Al. Armii Ludowej,80
Warszawa,00-605,Al. Armii Ludowej,184
Warszawa,00-609,Al. Armii Ludowej,106
Warszawa,00-632,Al. Armii Ludowej,185
Warszawa,00-637,Al. Armii Ludowej,98
Warszawa,00-638,Al. Armii Ludowej,84
Warszawa,00-147,Al. Generala Andersa Wladyslawa,163
Warszawa,00-159,Al. Generala Andersa Wladyslawa,249
Warszawa,00-201,Al. Generala Andersa Wladyslawa,207
Warszawa,00-210,Al. Generala Andersa Wladyslawa,17
Warszawa,00-243,Al. Generala Andersa Wladyslawa,173
Warszawa,00-713,"Al. Godziny ""W""",235
Warszawa,00-116,Al. Jana Pawla II,210
Warszawa,00-117,Al. Jana Pawla II,81
Warszawa,00-124,Al. Jana Pawla II,114
Warszawa,00-133,Al. Jana Pawla II,110
Warszawa,00-135,Al. Jana Pawla II,152
Warszawa,00-141,Al. Jana Pawla II,176
Warszawa,00-145,Al. Jana Pawla II,181
Warszawa,00-148,Al. Jana Pawla II,6
Warszawa,00-152,Al. Jana Pawla II,100
Warszawa,00-156,Al. Jana Pawla II,133
Warszawa,00-166,Al. Jana Pawla II,194
Warszawa,00-170,Al. Jana Pawla II,12
Warszawa,00-175,Al. Jana Pawla II,29
Warszawa,00-804,Al. Jana Pawla II,193
Warszawa,00-823,Al. Jana Pawla II,6
Warszawa,00-828,Al. Jana Pawla II,104
Warszawa,00-854,Al. Jana Pawla II,144
Warszawa,00-867,Al. Jana Pawla II,94
Warszawa,00-899,Al. Jana Pawla II,38
Warszawa,00-497,Al. Lorentza Stanislawa,201
Warszawa,00-334,Al. Na Skarpie,21
Warszawa,00-488,Al. Na Skarpie,141
Warszawa,00-608,Al. Niepodleglosci,102
Warszawa,00-663,Al. Niepodleglosci,28
Warszawa,00-712,Al. Polski Walczacej,75
Warszawa,00-565,Al. Przyjaciol,236
Warszawa,00-556,Al. Roz,134
Warszawa,00-090,Al. Solidarnosci,157
Warszawa,00-140,Al. Solidarnosci,120
Warszawa,00-144,Al. Solidarnosci,65
Warszawa,00-145,Al. Solidarnosci,81
Warszawa,00-240,Al. Solidarnosci,118
Warszawa,00-877,Al. Solidarnosci,5
Warszawa,00-897,Al. Solidarnosci,121
Warszawa,00-898,Al. Solidarnosci,230
Warszawa,00-460,Al. Szpitala Ujazdowskiego,32
Warszawa,00-580,Al. Szucha Jana Chrystiana,60
Warszawa,00-582,Al. Szucha Jana Chrystiana,103
Warszawa,00-570,Al. Wyzwolenia,104
Warszawa,00-572,Al. Wyzwolenia,33
Warszawa,00-422,"Al. Zgrupowania AK ""Kryska""",119
Warszawa,00-024,Aleje Jerozolimskie,94
Warszawa,00-024,Aleje Jerozolimskie,4
Warszawa,00-374,Aleje Jerozolimskie,189
Warszawa,00-495,Aleje Jerozolimskie,90
Warszawa,00-508,Aleje Jerozolimskie,112
Warszawa,00-692,Aleje Jerozolimskie,84
Warszawa,00-697,Aleje Jerozolimskie,60
Warszawa,00-803,Aleje Jerozolimskie,160
Warszawa,00-807,Aleje Jerozolimskie,208
Warszawa,00-813,Aleje Jerozolimskie,194
Warszawa,00-461,Aleje Ujazdowskie,34
Warszawa,00-478,Aleje Ujazdowskie,201
Warszawa,00-536,Aleje Ujazdowskie,214
Warszawa,00-540,Aleje Ujazdowskie,120
Warszawa,00-557,Aleje Ujazdowskie,18
Warszawa,00-567,Aleje Ujazdowskie,127
Warszawa,00-583,Aleje Ujazdowskie,169
Warszawa,00-711,Ananasowa,91
Warszawa,00-157,Anielewicza Mordechaja,20
Warszawa,00-161,Anielewicza Mordechaja,21
Warszawa,00-167,Anielewicza Mordechaja,185
Warszawa,00-157,Anielewicza Mordechaja,7
Warszawa,00-161,Anielewicza Mordechaja,27
Warszawa,00-167,Anielewicza Mordechaja,165
Warszawa,00-591,Bacciarellego Marcelego,177
Warszawa,00-036,Baczynskiego Krzysztofa Kamila,212
Warszawa,00-036,Baczynskiego Krzysztofa Kamila,75
Warszawa,00-752,Badowska,165
Warszawa,00-585,Bagatela,27
Warszawa,00-112,Bagno,21
Warszawa,00-705,Bananowa,204
Warszawa,00-767,Bandoski,175
Warszawa,00-736,Banioska,1
Warszawa,00-237,Barokowa,124
Warszawa,00-337,Bartoszewicza Juliana,245
Warszawa,00-710,Bartoszka Franciszka,48
Warszawa,00-716,Bartycka,25
Warszawa,00-713,"Batalionu AK ""Baltyk""",182
Warszawa,00-712,"Batalionu AK ""Karpaty""",137
Warszawa,00-713,"Batalionu AK ""Olza""",141
Warszawa,00-713,"Batalionu AK ""Rys""",75
Warszawa,00-310,Bednarska,125
Warszawa,00-321,Bednarska,33
Warszawa,00-769,Beethovena Ludwika,216
Warszawa,00-594,Belwederska,29
Warszawa,00-761,Belwederska,130
Warszawa,00-762,Belwederska,86
Warszawa,00-895,Biala,148
Warszawa,00-304,Bialoskornicza,135
Warszawa,00-085,Bielanska,111
Warszawa,00-086,Bielanska,57
Warszawa,00-085,Bielanska,66
Warszawa,00-086,Bielanska,60
Warszawa,00-712,Bluszczanska,153
Warszawa,00-728,Bobrowiecka,230
Warszawa,00-303,Boczna,184
Warszawa,00-011,Boduena Gabriela Piotra,35
Warszawa,00-011,Boduena Gabriela Piotra,158
Warszawa,00-242,Bohaterow Getta,51
Warszawa,00-259,Bolesc,193
Warszawa,00-203,Bonifraterska,151
Warszawa,00-213,Bonifraterska,223
Warszawa,00-203,Bonifraterska,123
Warszawa,00-213,Bonifraterska,94
Warszawa,00-781,Boryszewska,211
Warszawa,00-621,Boya-Zelenskiego Tadeusza,132
Warszawa,00-771,Braci Pillatich,99
Warszawa,00-028,Bracka,120
Warszawa,00-028,Bracka,122
Warszawa,00-501,Bracka,11
Warszawa,00-502,Bracka,226
Warszawa,00-311,Browarna,125
Warszawa,00-338,Browarna,73
Warszawa,00-258,Brzozowa,100
Warszawa,00-286,Brzozowa,53
Warszawa,00-285,Bugaj,204
Warszawa,00-221,Burmistrzowska,206
Warszawa,00-171,Blonska,155
Warszawa,00-559,Calinescu Armanda,227
Warszawa,00-099,Canaletta,222
Warszawa,00-262,Celna,163
Warszawa,00-287,Celna,226
Warszawa,00-613,Chalubinskiego Tytusa,232
Warszawa,00-724,Chelmska,121
Warszawa,00-725,Chelmska,137
Warszawa,00-020,Chmielna,151
Warszawa,00-021,Chmielna,153
Warszawa,00-117,Chmielna,14
Warszawa,00-020,Chmielna,151
Warszawa,00-021,Chmielna,118
